,id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Bot_or_NoBot,
153,9.90169E+17,28-04-18 10:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 34,0,
154,9.90167E+17,28-04-18 9:54,MyFashionVilla,6678,India,FALSE,1610,114,4248,10056,TRUE,"[{'indices': [21, 35], 'text': 'T20onAirtel4G'}]",This is my Airtel 4G #T20onAirtel4G selfie! An amazing contest by @airtelindia guys.. Do participate to win an…,0,
157,9.90164E+17,28-04-18 9:39,mayflashfly,14262,Thailand,FALSE,419,192,1361,150914,TRUE,"[{'indices': [41, 50], 'text': 'flashfly'}, {'indices': [51, 59], 'text': 'iPhone8'}, {'indices': [60, 78], 'text': 'applewatchseries3'}, {'indices': [79, 83], 'text': 'LTE'}]",iPhone 8 RED vs Apple Watch Series 3 LTE #flashfly #iPhone8 #applewatchseries3 #LTE,0,
162,9.9015E+17,28-04-18 8:43,Zeenia_I123,4554,,FALSE,2139,8,2015,14815,FALSE,"[{'indices': [37, 51], 'text': 'T20onAirtel4G'}, {'indices': [92, 100], 'text': 'Iphone8'}]",RT @ZeniaIrani: This is my Airtel 4G #T20onAirtel4G selfie! Share your selfies too guys! An #Iphone8 is up for grabs. @airtelindia Hey @b…,0,
163,9.90149E+17,28-04-18 8:43,Pocket_PDCA,84,apple itunes store,FALSE,165,3,372,2669,FALSE,"[{'indices': [0, 5], 'text': 'PDCA'}, {'indices': [6, 14], 'text': 'iphone8'}, {'indices': [15, 21], 'text': 'ionic'}, {'indices': [22, 29], 'text': 'newapp'}]","#PDCA #iphone8 #ionic #newapp It is ""pocketPDCA"" that you can use easily PDCA cycle on your smartphone. [Youtube]",0,
167,9.90144E+17,28-04-18 8:22,sp_wallpaper,515,Web,FALSE,30,59,0,33132,FALSE,"[{'indices': [79, 87], 'text': 'iphone8'}, {'indices': [88, 98], 'text': 'wallpaper'}]",SmartPhone Wallpaper info:Ground keyboard Orange white #iphone8 #wallpaper,0,
168,9.90144E+17,28-04-18 8:22,vishalgiri13119,35,"Maharashtra, India",FALSE,297,0,8324,8007,FALSE,"[{'indices': [111, 119], 'text': 'iPhone8'}]","RT @MakTechBlog: Apple iPhone 8 and 8 Plus (Product) Red edition launched in India, price starts at Rs. 67,940 #iPhone8",0,
169,9.90144E+17,28-04-18 8:20,iPhone_wp_sc_en,4116,,FALSE,512,53,0,30617,FALSE,"[{'indices': [53, 61], 'text': 'iphone8'}, {'indices': [62, 72], 'text': 'wallpaper'}]",Ground keyboard Orange white #iphone8 #wallpaper,0,
170,9.90144E+17,28-04-18 8:20,EngrWasimsafdar,1156,Copenhagen,FALSE,4992,9,638,654,FALSE,"[{'indices': [30, 45], 'text': 'iCamTranslator'}, {'indices': [59, 66], 'text': 'iPhone'}, {'indices': [117, 125], 'text': 'iPhone7'}, {'indices': [128, 132], 'text': 'iOS'}, {'indices': [133, 138], 'text': 'Apps'}]",RT @EngrWasimsafdar: Download #iCamTranslator free on your #iPhone and subscribe any feature and get a chance to win #iPhone7. #iOS #Apps…,0,
171,9.90142E+17,28-04-18 8:15,being_rockyy,1708,"New Delhi, India",FALSE,130,4,86,15039,TRUE,"[{'indices': [105, 113], 'text': 'iphone8'}]",RT @miss_cherished: Here is my selfie with @airtelindia 4G T20 cricket season pass. I really Hope to win #iphone8. All you guys Participate…,0,
174,9.90139E+17,28-04-18 8:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 30,0,
175,9.90139E+17,28-04-18 8:01,janveethakral,177,,FALSE,1,0,0,675,FALSE,"[{'indices': [7, 15], 'text': 'iPhone8'}, {'indices': [28, 42], 'text': 'T20onAirtel4G'}]",Win an #iPhone8 every day.. #T20onAirtel4G,0,
177,9.90139E+17,28-04-18 8:00,MakTechBlog,5721,India,FALSE,423,58,5,6039,TRUE,"[{'indices': [94, 102], 'text': 'iPhone8'}]","Apple iPhone 8 and 8 Plus (Product) Red edition launched in India, price starts at Rs. 67,940 #iPhone8…",0,
182,9.90134E+17,28-04-18 7:40,rishabhanalyst,163688,"Noida, India",FALSE,146779,271,2,4769,TRUE,"[{'indices': [21, 35], 'text': 'T20onAirtel4G'}, {'indices': [56, 64], 'text': 'iphone8'}, {'indices': [93, 101], 'text': 'contest'}]","This is my Airtel 4G #T20onAirtel4G selfie! Hope to win #iphone8 😊. Guys, Participate in the #contest now .. Don't…",0,
185,9.90126E+17,28-04-18 7:10,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [84, 92], 'text': 'iPhone8'}, {'indices': [93, 101], 'text': 'iPhoneX'}, {'indices': [102, 113], 'text': 'BlingBling'}]",Floral Butterfly 3D Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case - Blue #iPhone8 #iPhoneX #BlingBling…,0,
187,9.90123E+17,28-04-18 7:00,homegenie_me,252,"Dubai, United Arab Emirates",FALSE,128,6,1,383,TRUE,"[{'indices': [29, 42], 'text': 'Annualsurvey'}, {'indices': [76, 84], 'text': 'iPhone8'}]",Are you participating in our #Annualsurvey? Don't miss the chance to win an #iPhone8! Enter from here:…,0,
188,9.90123E+17,28-04-18 6:57,NewApps4me,12519,Global,FALSE,13790,158,10440,74517,TRUE,"[{'indices': [0, 6], 'text': 'Daily'}, {'indices': [49, 57], 'text': 'iphone8'}, {'indices': [58, 65], 'text': 'iphone'}]",#Daily Apps News is out! #iphone8 #iphone,0,
192,9.90119E+17,28-04-18 6:42,miss_cherished,17448,"New Delhi, India",FALSE,256,92,18995,150892,TRUE,"[{'indices': [85, 93], 'text': 'iphone8'}]",Here is my selfie with @airtelindia 4G T20 cricket season pass. I really Hope to win #iphone8. All you guys Partici…,0,
193,9.90118E+17,28-04-18 6:38,anahitairani1,23447,"Mumbai, India",FALSE,1051,199,23480,101806,TRUE,[],Here is my selfie with @airtelindia 4G for T20 cricket season pass. Hey @tofarzeen @MehekMahtani @iswatisingh Sha…,0,
195,9.90116E+17,28-04-18 6:30,gizbot,22701,,TRUE,729,408,407,67107,TRUE,"[{'indices': [6, 14], 'text': 'iPhone8'}, {'indices': [16, 28], 'text': 'iPhone8Plus'}]","Apple #iPhone8, #iPhone8Plus (PRODUCT) RED Special Edition now available in India starting at Rs 67,940 @Apple",0,
196,9.90115E+17,28-04-18 6:27,ImagineApplePR,457,Delhi,FALSE,29,12,235,2234,FALSE,"[{'indices': [0, 8], 'text': 'iPhone8'}, {'indices': [59, 67], 'text': 'iPhone8'}]",#iPhone8 Engineered to resist water &amp; Dust. Unbox your #iPhone8 at Imagine Apple Premium Reseller. Call 82874-82874…,0,
197,9.90112E+17,28-04-18 6:15,ajitpratap,250,Gurgaon,FALSE,549,10,2059,3812,TRUE,[],@AppleSupport @Apple @tim_cook My new iPhone8 is not working. Purchased on 13th april only. Dealer is not helping m…,0,
198,9.90109E+17,28-04-18 6:01,rvirgo9,16516,India,FALSE,902,330,50765,199908,TRUE,"[{'indices': [95, 103], 'text': 'iphone8'}]",Happy weekend! ❤️❤️Here is my selfie with @airtelindia 4G T20 cricket season pass. Hope to win #iphone8. Go Partici…,0,
200,9.90106E+17,28-04-18 5:51,maidenjpshop,122,"Bangkok, Thailand",FALSE,15,0,937,1417,FALSE,"[{'indices': [22, 31], 'text': 'PreOrder'}]",RT @maidennbag2018: 🔥 #PreOrder 🔥 ✔ปิดรอบ 9 พค.✔ Soft-case Donald duck&amp;friends! -iphone6 / 6s -iphone 6+ / 6s+ -iphone7 / 7+ -iphone8 / 8…,0,
201,9.90106E+17,28-04-18 5:49,roomeezon,12503,TownHills,FALSE,2004,18358,689070,927887,TRUE,"[{'indices': [65, 75], 'text': 'Westbrook'}, {'indices': [76, 83], 'text': 'iphone'}, {'indices': [84, 92], 'text': 'iphonex'}, {'indices': [93, 99], 'text': 'apple'}, {'indices': [100, 107], 'text': 'design'}, {'indices': [108, 122], 'text': 'productdesign'}, {'indices': [123, 135], 'text': 'kickstarter'}]",RT @Creatio_Dez: Everything is ready. Shipment will begin soon! #Westbrook #iphone #iphonex #apple #design #productdesign #kickstarter #in…,0,
202,9.90104E+17,28-04-18 5:43,maidennbag2018,196,"Bangkok, Thailand",FALSE,1,0,14,176,FALSE,"[{'indices': [2, 11], 'text': 'PreOrder'}]",🔥 #PreOrder 🔥 ✔ปิดรอบ 9 พค.✔ Soft-case Donald duck&amp;friends! -iphone6 / 6s -iphone 6+ / 6s+ -iphone7 / 7+ -iphone8…,0,
203,9.90104E+17,28-04-18 5:43,Creatio_Dez,55,,FALSE,46,11,140,198,FALSE,"[{'indices': [48, 58], 'text': 'Westbrook'}, {'indices': [59, 66], 'text': 'iphone'}, {'indices': [67, 75], 'text': 'iphonex'}, {'indices': [76, 82], 'text': 'apple'}, {'indices': [83, 90], 'text': 'design'}, {'indices': [91, 105], 'text': 'productdesign'}]",Everything is ready. Shipment will begin soon! #Westbrook #iphone #iphonex #apple #design #productdesign…,0,
207,9.90094E+17,28-04-18 5:04,TopCellularDeal,665,,FALSE,242,35,1,57408,FALSE,[],"ENUOSUMA Wireless Charger, Qi Wireless Charging Pad for iPhone X，iPhone8/8 Plus,Galaxy S8/S7/S7 edge/S6 edge+,Note5…",0,
208,9.90094E+17,28-04-18 5:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 24,0,
211,9.90091E+17,28-04-18 4:50,iOSdevTweets,665,,FALSE,9,23,0,26312,FALSE,"[{'indices': [58, 64], 'text': 'Apple'}, {'indices': [65, 69], 'text': 'iOS'}, {'indices': [70, 78], 'text': 'iPhoneX'}, {'indices': [79, 87], 'text': 'iPhone8'}, {'indices': [88, 99], 'text': 'AppleWatch'}, {'indices': [100, 105], 'text': 'iPad'}]",RT @NoVuapp: NoVu: GIF Keyboard featured in actualapple 📲 #Apple #iOS #iPhoneX #iPhone8 #AppleWatch #iPad,0,
212,9.90091E+17,28-04-18 4:50,iOSdevTweets,665,,FALSE,9,23,0,26312,FALSE,"[{'indices': [65, 69], 'text': 'iOS'}, {'indices': [70, 78], 'text': 'iPhoneX'}, {'indices': [79, 87], 'text': 'iPhone8'}, {'indices': [88, 93], 'text': 'iPad'}, {'indices': [94, 105], 'text': 'AppleWatch'}]",RT @NoVuapp: 8 paid iPhone apps you can download for free today. #iOS #iPhoneX #iPhone8 #iPad #AppleWatch,0,
216,9.90086E+17,28-04-18 4:31,IGIG_CENTER,48,"San Juan City, National Capital Region",FALSE,67,8,11,6077,TRUE,[],Baseus Headphone Adapter Support Charger For iPhone 7 Cable For Lightning Earphone Fast Charging and Music For iPho…,0,
218,9.9008E+17,28-04-18 4:06,Amane_Tokiori,481,沙夜といたい沙夜といたい沙夜と...(広島),FALSE,339,20,12007,13910,FALSE,[],@Ruri_Selene iPhone8？,0,
219,9.90079E+17,28-04-18 4:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 22,0,
222,9.90072E+17,28-04-18 3:35,adriena_usa,9,United States,FALSE,72,0,149,31,FALSE,"[{'indices': [36, 43], 'text': 'iPhone'}, {'indices': [44, 51], 'text': 'iPhone'}, {'indices': [52, 58], 'text': 'apple'}, {'indices': [59, 69], 'text': 'teamapple'}, {'indices': [70, 82], 'text': 'appleiphone'}, {'indices': [83, 91], 'text': 'iphonex'}, {'indices': [92, 104], 'text': 'iphone8plus'}, {'indices': [105, 113], 'text': 'iphone8'}, {'indices': [114, 126], 'text': 'iphone7plus'}, {'indices': [127, 135], 'text': 'iphone7'}]",RT @Meritc_: New iPhone Concept! 🔥😍 #iPhone #iPhone #apple #teamapple #appleiphone #iphonex #iphone8plus #iphone8 #iphone7plus #iphone7 #Ap…,0,
224,9.90071E+17,28-04-18 3:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 21,0,
225,9.90071E+17,28-04-18 3:30,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [70, 78], 'text': 'iPhone8'}, {'indices': [79, 87], 'text': 'iPhoneX'}, {'indices': [88, 99], 'text': 'BlingBling'}]",Blossom Bling Swarovski Crystal Samsung Galaxy S3 i9300 Cases - Black #iPhone8 #iPhoneX #BlingBling Click here -&gt;…,0,
226,9.9007E+17,28-04-18 3:29,bilirubean,430,"Seoul, Republic of Korea",FALSE,667,0,12498,6967,FALSE,[],RT @osswhalegum: Lmao johny will be giving away a red iphone8. Keep checking his ig guys,0,
229,9.90067E+17,28-04-18 3:16,iPhone_wp_sc_en,4116,,FALSE,512,53,0,30617,FALSE,"[{'indices': [41, 49], 'text': 'iphone8'}, {'indices': [50, 60], 'text': 'wallpaper'}]",Gradation yellow #iphone8 #wallpaper,0,
231,9.90064E+17,28-04-18 3:05,TechGuyBert,82,"Toronto, ON",FALSE,266,19,4763,6396,FALSE,"[{'indices': [76, 87], 'text': 'AppleWatch'}, {'indices': [88, 96], 'text': 'iPhoneX'}, {'indices': [97, 115], 'text': 'AppleWatchSeries3'}, {'indices': [116, 123], 'text': 'iPhone'}, {'indices': [124, 132], 'text': 'iPhone8'}]",RT @TechInRL: Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8 #techn…,0,
233,9.90057E+17,28-04-18 2:35,LifeHacksIRL,5922,,FALSE,6122,22,29,4802,FALSE,"[{'indices': [0, 3], 'text': 'RT'}, {'indices': [77, 88], 'text': 'AppleWatch'}, {'indices': [89, 97], 'text': 'iPhoneX'}]",#RT @TechInRL: Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX…,0,
235,9.90048E+17,28-04-18 2:00,TechInRL,1351,Canada,FALSE,1444,1,4,1865,FALSE,"[{'indices': [62, 73], 'text': 'AppleWatch'}, {'indices': [74, 82], 'text': 'iPhoneX'}, {'indices': [83, 101], 'text': 'AppleWatchSeries3'}, {'indices': [102, 109], 'text': 'iPhone'}, {'indices': [110, 118], 'text': 'iPhone8'}, {'indices': [119, 130], 'text': 'technology'}]",Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8 #technology,0,
237,9.90043E+17,28-04-18 1:40,CaseSwaggerUS,113,"Pennsylvania, USA",FALSE,28,19,208,278,FALSE,[],"Not your traditional American Flag design, but none the less still pretty epic... Be sure to signup at…",0,
239,9.90037E+17,28-04-18 1:16,jackhp39,5,"Hawthorn Woods, IL",FALSE,96,0,7,152,FALSE,"[{'indices': [50, 58], 'text': 'iPhone8'}, {'indices': [59, 64], 'text': 'iOS6'}, {'indices': [65, 79], 'text': 'ScottForstall'}, {'indices': [80, 90], 'text': 'SteveJobs'}, {'indices': [91, 98], 'text': 'legacy'}]",RT @tjc1235: Retweet if you wish this were real!! #iPhone8 #iOS6 #ScottForstall #SteveJobs #legacy,0,
240,9.90029E+17,28-04-18 0:44,ioanna_238,151,"England, United Kingdom",FALSE,948,3,492,188,FALSE,"[{'indices': [57, 64], 'text': 'buynow'}, {'indices': [65, 74], 'text': 'discount'}, {'indices': [75, 88], 'text': 'discountcode'}, {'indices': [89, 95], 'text': 'sales'}, {'indices': [96, 103], 'text': 'iphone'}, {'indices': [104, 112], 'text': 'iphonex'}]",Code: T20 gives you 20% off on 😍 #buynow #discount #discountcode #sales #iphone #iphonex…,0,
241,9.90029E+17,28-04-18 0:42,ioanna_238,151,"England, United Kingdom",FALSE,948,3,492,188,FALSE,"[{'indices': [104, 115], 'text': 'headphones'}, {'indices': [116, 126], 'text': 'earphones'}, {'indices': [127, 134], 'text': 'iphone'}]",RT @ioanna_238: Code: IOANNA gives you 20% off at 😍(offer valid until 11/05/18) #headphones #earphones #iphone #iph…,0,
243,9.90019E+17,28-04-18 0:03,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 14,0,
244,9.90018E+17,28-04-18 0:00,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [37, 45], 'text': 'iPhone8'}, {'indices': [46, 54], 'text': 'iPhoneX'}, {'indices': [55, 66], 'text': 'BlingBling'}]",Classic Crystal New iPad Case - Pink #iPhone8 #iPhoneX #BlingBling Click here -&gt;,0,
245,9.90016E+17,27-04-18 23:51,up2datetrending,51,India,FALSE,51,0,32,69,TRUE,"[{'indices': [102, 110], 'text': 'iPhone8'}]",Apples (PRODUCT) RED Editions of iPhone 8 and iPhone 8 Plus are finally available for sale in India. #iPhone8…,0,
248,9.90011E+17,27-04-18 23:31,Roc091,73,People's Republic of China,FALSE,234,0,1540,82,TRUE,"[{'indices': [57, 77], 'text': 'promotionalproducts'}, {'indices': [78, 84], 'text': 'promo'}, {'indices': [85, 102], 'text': 'wirelesschargers'}]",Elephant Wireless Charger Contact: roc@everacepromo.com #promotionalproducts #promo #wirelesschargers…,0,
250,9.9001E+17,27-04-18 23:30,NewApps4me,12519,Global,FALSE,13790,158,10440,74517,TRUE,"[{'indices': [53, 61], 'text': 'iphone8'}]",Five Useful Mac Apps Worth Checking Out - April 2018 #iphone8,0,
253,9.90003E+17,27-04-18 23:00,Mscv50,19932,"Amsterdam, The Netherlands",FALSE,9431,180,51993,29035,FALSE,[],RT @tech__giveaways: Just saw this on Amazon: NuAns ROLLDOCK Lightning Mobile Battery Dock 3000... for $49.99 via @…,0,
254,9.90002E+17,27-04-18 22:57,iammudan,1426,ℋeavenlyℂourtℂelestialℳansion,FALSE,97,3,1140,8764,TRUE,"[{'indices': [66, 74], 'text': 'iPhone8'}, {'indices': [76, 88], 'text': 'iPhone8Plus'}, {'indices': [93, 101], 'text': 'iPhoneX'}]","RT @gizbot: Belkin has unveiled its new wireless charging pad for #iPhone8, #iPhone8Plus and #iPhoneX. @belkin",0,
257,9.89995E+17,27-04-18 22:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 11,0,
258,9.89995E+17,27-04-18 22:30,NewApps4me,12519,Global,FALSE,13790,158,10440,74517,TRUE,"[{'indices': [62, 70], 'text': 'iphone8'}]",Apple working on wireless AR/VR headset with dual 8K displays #iphone8,0,
260,9.89992E+17,27-04-18 22:17,sp_wallpaper,515,Web,FALSE,30,59,0,33132,FALSE,"[{'indices': [63, 71], 'text': 'iphone8'}, {'indices': [72, 82], 'text': 'wallpaper'}]",SmartPhone Wallpaper info:Cloudy Green #iphone8 #wallpaper,0,
261,9.89991E+17,27-04-18 22:15,iPhone_wp_sc_en,4116,,FALSE,512,53,0,30617,FALSE,"[{'indices': [37, 45], 'text': 'iphone8'}, {'indices': [46, 56], 'text': 'wallpaper'}]",Cloudy Green #iphone8 #wallpaper,0,
262,9.8998E+17,27-04-18 21:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 9,0,
266,9.89973E+17,27-04-18 21:01,blogengageiam,4,United,FALSE,143,0,1,519,FALSE,[],Apple iPhone8 and 8 Plus RED Special Edition now available in India,0,
268,9.89968E+17,27-04-18 20:44,gadgets_ng,257,No 4 Medical Road Ikeja Lagos,FALSE,963,0,620,385,FALSE,[],Ask and it shall be given on to you..😄😃 Seen what you like? Don’t hesitate to DM or Call 📞☎️ 07039858496 : ...let’s…,0,
269,9.89968E+17,27-04-18 20:43,Meritc_,469,"California, USA",FALSE,26,0,5122,163,FALSE,"[{'indices': [23, 30], 'text': 'iPhone'}, {'indices': [31, 38], 'text': 'iPhone'}, {'indices': [39, 45], 'text': 'apple'}, {'indices': [46, 56], 'text': 'teamapple'}, {'indices': [57, 69], 'text': 'appleiphone'}, {'indices': [70, 78], 'text': 'iphonex'}, {'indices': [79, 91], 'text': 'iphone8plus'}, {'indices': [92, 100], 'text': 'iphone8'}, {'indices': [101, 113], 'text': 'iphone7plus'}]",New iPhone Concept! 🔥😍 #iPhone #iPhone #apple #teamapple #appleiphone #iphonex #iphone8plus #iphone8 #iphone7plus…,0,
271,9.89965E+17,27-04-18 20:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 7,0,
272,9.89965E+17,27-04-18 20:30,NewApps4me,12519,Global,FALSE,13790,158,10440,74517,TRUE,"[{'indices': [88, 96], 'text': 'iphone8'}]",How to add trusted phone numbers for Two-Factor Authentication to your Apple ID account #iphone8,0,
275,9.89957E+17,27-04-18 19:58,EngrWasimsafdar,1156,Copenhagen,FALSE,4992,9,638,654,FALSE,"[{'indices': [9, 24], 'text': 'iCamTranslator'}, {'indices': [38, 45], 'text': 'iPhone'}, {'indices': [96, 104], 'text': 'iPhone7'}, {'indices': [107, 111], 'text': 'iOS'}]",Download #iCamTranslator free on your #iPhone and subscribe any feature and get a chance to win #iPhone7. #iOS…,0,
276,9.89953E+17,27-04-18 19:44,ArtRetail,106,USA,FALSE,51,73,417,3825,FALSE,"[{'indices': [15, 23], 'text': 'iPhoneX'}, {'indices': [24, 30], 'text': 'Cases'}, {'indices': [70, 77], 'text': 'design'}, {'indices': [84, 89], 'text': 'Case'}, {'indices': [90, 96], 'text': 'Brand'}, {'indices': [98, 104], 'text': 'Apple'}, {'indices': [105, 111], 'text': 'phone'}, {'indices': [112, 123], 'text': 'phonecases'}, {'indices': [124, 131], 'text': 'online'}, {'indices': [132, 139], 'text': 'google'}]",RT @ArtRetail: #iPhoneX #Cases 🌸https://t.co/E5R9uTND7X 👉🏻Apply any #design 2 any #Case #Brand #Apple #phone #phonecases #online #google…,0,
277,9.8995E+17,27-04-18 19:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 5,0,
279,9.89946E+17,27-04-18 19:13,elementalcases,110,"Los Angeles, CA",FALSE,64,18,8,1336,FALSE,"[{'indices': [21, 27], 'text': 'blush'}, {'indices': [28, 43], 'text': 'elementalcases'}, {'indices': [44, 55], 'text': 'applewatch'}, {'indices': [56, 64], 'text': 'iphoneX'}, {'indices': [65, 77], 'text': 'iphone8plus'}, {'indices': [78, 86], 'text': 'iphone8'}, {'indices': [87, 99], 'text': 'iphone7plus'}, {'indices': [100, 108], 'text': 'iphone7'}]",Matchy matchy 💕👯‍♀️💕 #blush #elementalcases #applewatch #iphoneX #iphone8plus #iphone8 #iphone7plus #iphone7,0,
284,9.89939E+17,27-04-18 18:48,dgran1103,11,,FALSE,41,0,2,138,FALSE,"[{'indices': [73, 85], 'text': 'iphone7plus'}, {'indices': [86, 94], 'text': 'iphone7'}, {'indices': [95, 104], 'text': 'iPhone6S'}, {'indices': [105, 113], 'text': 'iphonex'}, {'indices': [114, 122], 'text': 'iphone8'}, {'indices': [123, 136], 'text': 'iphonegraphy'}]",RT @dinfomall: SPRINT DEAL | NEW iPhone 8 (PRODUCT) RED Special Edition! #iphone7plus #iphone7 #iPhone6S #iphonex #iphone8 #iphonegraphy #i…,0,
286,9.89935E+17,27-04-18 18:30,techshout,13295,,FALSE,181,189,16,24612,FALSE,"[{'indices': [0, 8], 'text': 'iPhone8'}, {'indices': [10, 22], 'text': 'iPhone8Plus'}]","#iPhone8, #iPhone8Plus (PRODUCT)RED hit India",0,
288,9.89929E+17,27-04-18 18:06,LiquidaStoreBr,2,"São Paulo, Brasil",FALSE,26,0,0,430,TRUE,[],Powstro USB Rechargeable battery 4 levels selfie Led Phone Camera Ring Light for IPhone8 Samsung R$9.52 ➤…,0,
289,9.89926E+17,27-04-18 17:53,xclaudia85x,882,,FALSE,76,38,42796,6751,TRUE,"[{'indices': [23, 28], 'text': 'case'}, {'indices': [35, 44], 'text': 'casetify'}, {'indices': [53, 63], 'text': 'butterfly'}, {'indices': [64, 76], 'text': 'butterflies'}, {'indices': [77, 83], 'text': 'moths'}, {'indices': [84, 99], 'text': 'casetifyartist'}, {'indices': [100, 107], 'text': 'iphone'}, {'indices': [108, 115], 'text': 'summer'}, {'indices': [116, 122], 'text': 'trend'}, {'indices': [123, 131], 'text': 'iPhone8'}]",RT @Kakelstore: Pretty #case in my #casetify shop!!! #butterfly #butterflies #moths #casetifyartist #iphone #summer #trend #iPhone8 #iphone…,0,
